revision,name,date,time,number of lines,comment,added,modified,deleted,changes
r1539930,Thomas,03/11/2015,09:57:23,1,PHONE-1855: Phone - Android Prod Cannot Switch Account,0,1,0,1
r1539664,ajon0002,02/11/2015,15:15:35,1,"add string widget_header_update_text, containing generic update message for HomeScreenWidget ViewFlipper TextView.",0,1,0,1
r1539662,ajon0002,02/11/2015,15:13:19,6,Add private List<Count> countsDelta.,0,1,0,1
r1539659,ajon0002,02/11/2015,15:09:41,3,Add private List<Count> countsDelta.,0,1,0,1
r1539656,ajon0002,02/11/2015,15:06:09,4,Add logic onUpdate such that visibility of placeholder logo and viewflipper are toggled.,0,1,0,1
r1539654,ajon0002,02/11/2015,15:02:56,2,Add DELTA contstants such that Intent sent to HomeScreenWidget can hold delta counts for widet update message.,0,1,0,1
r1539651,ajon0002,02/11/2015,15:00:59,1,Make HomeScreenWidget vertically resizeable.,0,1,0,1
r1539648,ajon0002,02/11/2015,15:00:06,2,"Add placeholder ImageView, containing operator logo and invisible ViewFlipper.",0,1,0,1
r1539645,ajon0002,02/11/2015,14:58:00,2,"Reinstate sendBroadcast, called in notifyOnUpdate.",0,1,0,1
r1539640,ajon0002,02/11/2015,14:55:02,3,Add private ArrayList<Count> delta to store difference between incoming and in memory counts.,0,1,0,1
r1539452,Thomas,02/11/2015,11:38:15,1,AMXPC-22: Incorporate new In-App Purchase Flows into Titans Android 15.2 client for Titans,0,3,0,3
r1539443,Thomas,02/11/2015,11:32:59,1,Changed to the frontier prod endpoints,0,1,0,1
r1539019,Thomas,30/10/2015,16:07:02,1,Disabled buddy sync for amx cient,0,1,0,1
r1538990,Thomas,30/10/2015,15:30:32,1,Removed default settings,0,0,1,1
r1538828,Jimmy,30/10/2015,12:22:31,1,Homescreen merge,1,11,0,12
r1538795,Thomas,30/10/2015,11:13:31,1,Set up dev and prod to amxpc labs,0,2,0,2
r1538793,Thomas,30/10/2015,11:09:24,1,Set up qa to amxpc-api,0,1,0,1
r1538454,Thomas,29/10/2015,15:24:47,2,Updated cloudsdkVersion to '1.0.8.25',0,1,0,1
r1538444,Thomas,29/10/2015,15:13:29,1,FTRPC-160: Frontier Android || Favorite icon is not shown for some of the PDF files,0,1,0,1
r1538425,Thomas,29/10/2015,14:49:23,1,Fixed typo,0,2,0,2
r1538416,Thomas,29/10/2015,14:38:14,1,Fixed typo,0,1,0,1
r1538410,Thomas,29/10/2015,14:30:41,2,FTRPC-153: Frontier Android Tablet || User able to create dupliacte albums with same name,0,2,0,2
r1538393,Thomas,29/10/2015,13:55:08,1,FTRPC-201: Frontier Android || Contextual menu options positions changing when selecting the files,0,26,0,26
r1538367,Thomas,29/10/2015,13:12:13,1,Remove empty dirs,0,0,2,2
r1538359,Thomas,29/10/2015,13:03:24,1,"FTRPC-152: Frontier Android Tablet || ""Available Offline"" is been displayed when user multi select time line photos(select Monts)",0,1,0,1
r1538288,Thomas,29/10/2015,11:30:26,1,Removed qa_wl builds,0,1,1,2
r1538283,Thomas,29/10/2015,11:25:18,1,FTRPC-133: Frontier Android || User doesn't recieves a notification when a a file is shared with them,0,3,0,3
r1538264,Jimmy,29/10/2015,10:59:57,1,BTPC-70,0,2,0,2
r1538234,Jimmy,29/10/2015,10:05:43,1,FTRPC-191,0,3,0,3
r1538198,Thomas,29/10/2015,08:46:06,1,Moved id splash_parent to ids.xml,0,2,0,2
r1537920,Thomas,28/10/2015,15:10:05,2,FTRPC-55: Incorporate new Password Flows into Frontier Android 15.2 client for Frontier,0,1,0,1
r1537919,Thomas,28/10/2015,15:07:07,1,Uopdated ignores,0,3,0,3
r1537915,Thomas,28/10/2015,15:02:17,1,FTRPC-55: Incorporate new Password Flows into Frontier Android 15.2 client for Frontier,1,10,0,11
r1537911,Thomas,28/10/2015,14:57:51,1,Added ignores,0,2,0,2
r1537697,Jimmy,28/10/2015,09:36:03,1,Removed client-att and mct-att,0,0,2,2
